Location,IMIPENEM,CEFTAZIDIME,GENTAMICIN,AUGMENTIN,CIPROFLOXACIN
IFE-T,25,20,20,15,28
IFE-T,25,25,20,20,30
IFE-T,30,10,20,20,25
IFE-T,25,20,20,25,28
IFE-T,25,7,20,20,22
IFE-T,25,0,15,15,25
IFE-T,20,0,22,10,22
IFE-T,25,25,18,18,22
IFE-T,22,0,12,12,22
IFE-T,20,0,10,10,22
IFE-T,28,20,18,20,25
IFE-T,27,27,20,20,28
IFE-T,22,12,0,8,0
IFE-T,22,0,20,20,20
IFE-T,24,15,25,25,20
IFE-T,35,20,25,25,30
IFE-T,27,27,20,20,0
IFE-T,20,22,0,0,0
IFE-T,25,25,13,20,22
IFE-T,18,27,20,0,25
IFE-T,27,15,18,15,25
IFE-T,20,22,10,20,22
IFE-T,16,25,20,0,30
IFE-T,20,20,20,20,20
IFE-T,20,10,15,0,15
IFE-T,30,15,15,12,0
IFE-T,37,15,20,24,20
IFE-T,18,0,18,10,22
IFE-T,21,18,15,12,25
IFE-T,20,0,12,7,10
IFE-T,20,20,19,15,25
IFE-C,25,10,19,23,25
IFE-C,26,10,21,24,25
IFE-C,20,0,12,16,21
IFE-C,22,0,18,0,20
IFE-C,16,9,16,18,22
IFE-C,18,10,19,8,23
IFE-C,22,11,18,19,25
IFE-C,28,0,20,10,0
IFE-C,19,8,20,12,0
IFE-C,20,0,17,7,22
IFE-C,22,24,11,9,20
IFE-C,16,0,0,8,21
IFE-C,17,0,0,12,20
IFE-C,18,11,20,15,24
IFE-C,26,11,21,10,23
IFE-C,15,0,20,0,28
IFE-C,21,0,0,20,22
IFE-C,20,10,18,0,22
IFE-S,23,0,18,7,25
IFE-S,15,0,0,0,24
IFE-S,25,9,19,20,25
IFE-S,24,0,19,9,23
IFE-S,26,11,19,20,21
IFE-S,40,0,20,15,20
IFE-S,30,0,24,25,20
IFE-S,40,12,25,28,25
IFE-S,22,22,18,0,28
IFE-S,24,12,15,15,0
IFE-S,17,0,6,17,12
IFE-S,20,20,20,16,0
IFE-S,40,0,24,28,29
IFE-S,25,0,20,16,20
IFE-S,30,0,20,16,26
IFE-S,25,20,17,15,25
IFE-S,25,24,16,20,25
IFE-S,22,0,16,4,20
IFE-S,30,7,20,20,20
IFE-S,20,0,20,11,0
IFE-S,30,0,20,18,25
IFE-S,30,18,16,25,20
IFE-S,40,20,25,25,25
IFE-S,30,0,20,17,25
OSU-T,24,0,16,0,30
OSU-T,26,20,10,9,23
OSU-T,21,0,15,0,22
OSU-T,22,12,17,0,19
OSU-T,20,0,15,0,20
OSU-T,17,0,15,0,12
OSU-T,18,24,13,9,32
OSU-T,27,0,15,0,10
OSU-T,22,18,15,0,25
OSU-T,17,12,15,0,21
OSU-T,24,11,17,0,21
OSU-T,23,12,8,0,22
OSU-T,22,15,9,0,20
OSU-T,24,32,22,13,19
OSU-T,22,25,18,7,20
OSU-T,20,13,0,0,0
OSU-T,20,0,8,0,20
OSU-T,23,0,15,0,25
OSU-T,25,11,16,0,15
OSU-T,23,13,15,0,17
OSU-T,27,8,20,12,0
OSU-T,25,0,17,0,11
OSU-T,25,0,16,0,19
OSU-C,23,10,15,0,15
OSU-C,20,11,14,0,20
OSU-C,20,11,10,0,17
OSU-C,20,0,15,0,0
OSU-C,20,12,17,0,17
OSU-C,23,15,15,0,7
OSU-C,25,0,17,7,21
OSU-C,30,0,19,15,25
OSU-C,15,0,0,0,24
OSU-C,30,0,15,7,20
OSU-C,20,0,16,0,15
OSU-C,25,0,20,0,20
OSU-C,20,0,19,0,22
OSU-C,20,0,15,0,20
OSU-C,30,7,19,0,22
OSU-C,20,20,10,0,20
OSU-C,25,0,28,0,25
OSU-C,20,0,20,0,20
OSU-C,30,0,20,20,20
OSU-C,25,10,15,0,20
OSU-C,25,10,20,22,25
OSU-C,30,0,20,0,22
OSU-C,30,10,20,0,25
OSU-S,25,25,18,15,21
OSU-S,25,0,20,7,20
OSU-S,7,15,20,7,20
OSU-S,24,10,18,10,23
OSU-S,26,20,20,17,25
OSU-S,25,25,20,20,30
OSU-S,29,24,20,10,0
OSU-S,39,0,24,18,25
OSU-S,37,10,15,17,25
OSU-S,35,0,25,30,30
OSU-S,36,10,16,20,20
OSU-S,39,5,25,17,25
OSU-S,32,0,20,15,20
OSU-S,25,10,20,17,17
OSU-S,30,10,25,15,25
OSU-S,30,10,25,25,20
OSU-S,30,0,25,30,30
OSU-S,25,10,15,15,20
OSU-S,30,0,20,12,20
OSU-S,35,7,20,20,23
OSU-S,25,0,18,10,20
OSU-S,32,10,21,7,20
OSU-S,30,12,17,25,15
IWO-T,19,23,16,8,11
IWO-T,20,8,14,19,22
IWO-T,20,0,10,0,17
IWO-T,18,15,15,10,0
IWO-T,22,9,13,17,12
IWO-T,22,0,13,14,7
IWO-T,17,0,8,12,0
IWO-T,16,0,7,9,0
IWO-T,18,13,7,11,12
IWO-T,23,19,18,18,22
IWO-T,23,13,17,0,24
IWO-T,19,0,12,0,20
IWO-T,17,8,9,0,0
IWO-T,0,0,13,8,0
IWO-T,24,11,18,15,21
IWO-T,23,12,17,10,25
IWO-T,20,14,16,20,22
IWO-T,24,15,16,12,24
IWO-T,27,25,12,17,25
IWO-T,18,0,10,11,8
IWO-T,21,20,15,0,26
IWO-T,21,0,13,0,12
IWO-T,20,24,16,0,23
IWO-T,21,0,19,10,12
IWO-T,20,18,14,0,20
IWO-T,22,24,16,17,22
IWO-T,28,18,21,9,26
IWO-C,20,0,12,14,11
IWO-C,20,12,21,15,22
IWO-C,23,20,18,25,17
IWO-C,20,0,9,15,9
IWO-C,23,12,20,25,28
IWO-C,22,10,18,0,19
IWO-C,19,22,19,9,15
IWO-C,21,17,16,20,26
IWO-C,21,0,17,7,20
IWO-C,22,0,17,13,23
IWO-C,20,13,18,0,22
IWO-C,26,12,21,0,22
IWO-C,17,0,8,0,9
IWO-C,21,0,18,12,20
IWO-C,22,0,18,19,25
IWO-C,24,16,14,16,24
IWO-C,28,10,21,18,23
IWO-C,16,0,10,11,9
IWO-C,33,0,22,15,25
IWO-C,14,0,12,13,0
IWO-S,18,17,16,0,22
IWO-S,24,0,9,0,0
IWO-S,24,0,8,0,0
IWO-S,20,0,10,0,11
IWO-S,22,0,22,12,10
IWO-S,23,0,16,0,25
IWO-S,21,0,20,11,25
IWO-S,22,0,21,15,0
IWO-S,24,18,23,23,24
IWO-S,33,12,27,20,28
IWO-S,20,0,19,14,23
IWO-S,26,0,20,12,13
IWO-S,25,0,17,12,21
IWO-S,21,0,15,11,12
IWO-S,30,0,22,13,26
IWO-S,32,0,19,0,17
IWO-S,20,0,19,11,22
IWO-S,25,0,20,7,12
IWO-S,30,0,7,0,10
IWO-S,20,0,21,13,11
IWO-S,22,0,21,12,23
IWO-S,21,0,9,14,0
EDE-T,20,21,18,11,22
EDE-T,16,20,27,19,16
EDE-T,36,10,23,20,20
EDE-T,31,9,16,11,20
EDE-T,30,20,28,35,15
EDE-T,35,9,16,10,13
EDE-T,25,0,22,18,18
EDE-T,23,0,20,15,23
EDE-T,22,7,17,12,18
EDE-T,24,0,16,15,24
EDE-T,33,7,17,11,13
EDE-T,33,21,19,21,25
EDE-T,30,20,18,19,26
EDE-T,36,12,21,20,19
EDE-T,37,25,24,31,30
EDE-T,34,15,20,18,22
EDE-T,30,19,20,18,22
EDE-T,37,10,12,9,13
EDE-T,30,17,20,25,24
EDE-T,31,17,20,9,23
EDE-T,25,0,18,15,24
EDE-C,28,0,0,10,20
EDE-C,25,20,0,10,20
EDE-C,32,0,15,10,20
EDE-C,24,18,20,0,25
EDE-C,28,20,7,10,0
EDE-C,25,0,15,10,20
EDE-C,25,0,20,15,20
EDE-C,25,0,20,10,0
EDE-C,25,12,9,0,0
EDE-C,25,20,15,7,20
EDE-C,25,0,20,20,20
EDE-C,20,0,25,15,22
EDE-C,30,0,20,12,22
EDE-C,25,25,30,10,25
EDE-C,25,0,0,15,10
EDE-C,30,0,17,12,28
EDE-C,35,19,25,27,25
EDE-C,32,9,25,10,25
EDE-C,23,0,20,15,23
EDE-C,20,20,18,0,25
EDE-C,20,20,20,0,28
EDE-S,20,0,18,7,28
EDE-S,27,0,20,7,23
EDE-S,32,7,19,11,20
EDE-S,33,0,23,13,23
EDE-S,27,7,19,10,0
EDE-S,35,0,13,12,20
EDE-S,20,25,18,0,23
EDE-S,18,0,17,11,25
EDE-S,17,0,17,15,20
EDE-S,20,19,15,15,22
EDE-S,20,10,20,17,30
EDE-S,30,0,15,15,13
EDE-S,20,25,15,12,25
EDE-S,34,0,20,15,20
EDE-S,25,0,20,15,19
EDE-S,25,7,18,15,27
EDE-S,33,0,0,12,25
EDE-S,30,0,20,12,23
EDE-S,23,30,20,12,35
EDE-S,21,0,18,12,20
EDE-S,24,0,22,11,23
